Source,Target
"If he had taken his own rule seriously, he would have found out that DRG has a very modest self-service canteen at its Bristol <b>management</b> office.",head
"If he had taken his own rule seriously, he would have found out that DRG has a very modest self-service canteen at its Bristol <b>central</b> office.",head
"There are other things he has, on his own admission, not fully investigated, like the value of the DRG properties, or which <b>division</b> of the DRG business he would keep after the break up.",part
"There are other things he has, on his own admission, not fully investigated, like the value of the DRG properties, or which <b>department</b> of the DRG business he would keep after the break up.",part
"There are other things he has, on his own admission, not fully investigated, like the value of the DRG properties, or which <b>section</b> of the DRG business he would keep after the break up.",part
"There are other things he has, on his own admission, not fully investigated, like the value of the DRG properties, or which <b>portion</b> of the DRG business he would keep after the break up.",part
"When the bid was launched last week, Mr Franklin <b>received</b> some criticism from City commentators on both those counts.",faced
"When the bid was launched last week, Mr Franklin <b>addressed</b> some criticism from City commentators on both those counts.",faced
He <b>sees</b> the charges as unfounded.,regards
He <b>considers</b> the charges as unfounded.,regards
He regards the <b>accusations</b> as unfounded.,charges
He regards the <b>fees</b> as unfounded.,charges
He regards the <b>punishment</b> as unfounded.,charges
"If they can prove it is <b>here</b>, we might pay for it,â€™",there
"If they can prove it is <b>available</b>, we might pay for it,â€™",there
"If they can prove it is <b>present</b>, we might pay for it,â€™",there
"â€˜That <b>detail</b> about the core business is very unfair,â€™ he says.",point
"â€˜That <b>part</b> about the core business is very unfair,â€™ he says.",point
"â€˜That <b>aspect</b> about the core business is very unfair,â€™ he says.",point
"â€˜That <b>claim</b> about the core business is very unfair,â€™ he says.",point
"Along with Sir James he <b>viewed</b> the US much more attractive, taking over and breaking up some fairly hefty US corporations.",found
"Along with Sir James he <b>discovered</b> the US much more attractive, taking over and breaking up some fairly hefty US corporations.",found
"Along with Sir James he <b>concluded</b> the US much more attractive, taking over and breaking up some fairly hefty US corporations.",found
"Along with Sir James he <b>considered</b> the US much more attractive, taking over and breaking up some fairly hefty US corporations.",found
"Along with Sir James he found the US much more attractive, taking over and <b>splitting</b> up some fairly hefty US corporations.",breaking
"Along with Sir James he found the US much more attractive, taking over and <b>dividing</b> up some fairly hefty US corporations.",breaking
"Along with Sir James he found the US much more attractive, taking over and <b>dissecting</b> up some fairly hefty US corporations.",breaking
"Along with Sir James he found the US much more attractive, taking over and <b>demolishing</b> up some fairly hefty US corporations.",breaking
He rejects <b>allegations</b> that he was partly responsible for the â€˜casino atmosphereâ€™ that gripped US corporate life in the early 1980s.,charges
He rejects <b>accusations</b> that he was partly responsible for the â€˜casino atmosphereâ€™ that gripped US corporate life in the early 1980s.,charges
He rejects <b>liability</b> that he was partly responsible for the â€˜casino atmosphereâ€™ that gripped US corporate life in the early 1980s.,charges
He rejects <b>claims</b> that he was partly responsible for the â€˜casino atmosphereâ€™ that gripped US corporate life in the early 1980s.,charges
He rejects <b>consensus</b> that he was partly responsible for the â€˜casino atmosphereâ€™ that gripped US corporate life in the early 1980s.,charges
He rejects charges that he was partly responsible for the â€˜casino atmosphereâ€™ that <b>captured</b> US corporate life in the early 1980s.,gripped
He rejects charges that he was partly responsible for the â€˜casino atmosphereâ€™ that <b>captivated</b> US corporate life in the early 1980s.,gripped
He rejects charges that he was partly responsible for the â€˜casino atmosphereâ€™ that <b>encompassed</b> US corporate life in the early 1980s.,gripped
He rejects charges that he was partly responsible for the â€˜casino atmosphereâ€™ that <b>grasped</b> US corporate life in the early 1980s.,gripped
He rejects charges that he was partly responsible for the â€˜casino atmosphereâ€™ that <b>enthralled</b> US corporate life in the early 1980s.,gripped
"â€˜We <b>messed</b> it up, yes, but we never lost any money for anybody and we never added to the unemployment figures.â€™",stirred
"â€˜We <b>swirled</b> it up, yes, but we never lost any money for anybody and we never added to the unemployment figures.â€™",stirred
"â€˜We <b>shook</b> it up, yes, but we never lost any money for anybody and we never added to the unemployment figures.â€™",stirred
"â€˜We <b>riled</b> it up, yes, but we never lost any money for anybody and we never added to the unemployment figures.â€™",stirred
"â€˜We <b>mixed</b> it up, yes, but we never lost any money for anybody and we never added to the unemployment figures.â€™",stirred
"â€˜We stirred it up, yes, but we never <b>forfeited</b> any money for anybody and we never added to the unemployment figures.â€™",lost
"â€˜We stirred it up, yes, but we never <b>squandered</b> any money for anybody and we never added to the unemployment figures.â€™",lost
And there is always the ultimate unbundler's <b>defiance</b> â€” that he will make money for his backers.,defence
And there is always the ultimate unbundler's <b>excuse</b> â€” that he will make money for his backers.,defence
And there is always the ultimate unbundler's <b>rebuttal</b> â€” that he will make money for his backers.,defence
And there is always the ultimate unbundler's <b>argument</b> â€” that he will make money for his backers.,defence
And there is always the ultimate unbundler's <b>mitigation</b> â€” that he will make money for his backers.,defence
"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is <b>planning</b> the bid to enrich himself and his friends by saying: â€˜Nobody could take that as a criticism â€” this is an investor group.",mounting
"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is <b>strengthening</b> the bid to enrich himself and his friends by saying: â€˜Nobody could take that as a criticism â€” this is an investor group.",mounting
"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is <b>leading</b> the bid to enrich himself and his friends by saying: â€˜Nobody could take that as a criticism â€” this is an investor group.",mounting
"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is <b>initiating</b> the bid to enrich himself and his friends by saying: â€˜Nobody could take that as a criticism â€” this is an investor group.",mounting
"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is <b>launching</b> the bid to enrich himself and his friends by saying: â€˜Nobody could take that as a criticism â€” this is an investor group.",mounting
"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is <b>tabling</b> the bid to enrich himself and his friends by saying: â€˜Nobody could take that as a criticism â€” this is an investor group.",mounting
"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is mounting the bid to enrich himself and his friends by saying: â€˜Nobody could <b>interpret</b> that as a criticism â€” this is an investor group.",take
"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is mounting the bid to enrich himself and his friends by saying: â€˜Nobody could <b>accept</b> that as a criticism â€” this is an investor group.",take
"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is mounting the bid to enrich himself and his friends by saying: â€˜Nobody could <b>endure</b> that as a criticism â€” this is an investor group.",take
"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is mounting the bid to enrich himself and his friends by saying: â€˜Nobody could <b>see</b> that as a criticism â€” this is an investor group.",take
"Sir: I was interested by your juxtaposition of â€˜Poll predicts 42-seat majority for Labourâ€™ with â€˜Tories <b>cling</b> onâ€™ (30 September), the latter referring, of course, to the Conservative victory in Wandsworth, the significance of which appears to have been almost totally ignored by the media.",hold
"Sir: I was interested by your juxtaposition of â€˜Poll predicts 42-seat majority for Labourâ€™ with â€˜Tories <b>grasp</b> onâ€™ (30 September), the latter referring, of course, to the Conservative victory in Wandsworth, the significance of which appears to have been almost totally ignored by the media.",hold
"Sir: I was interested by your juxtaposition of â€˜Poll predicts 42-seat majority for Labourâ€™ with â€˜Tories <b>remain</b> onâ€™ (30 September), the latter referring, of course, to the Conservative victory in Wandsworth, the significance of which appears to have been almost totally ignored by the media.",hold
"Electors are always <b>ready</b> to criticise the Government in answer to pollsters' questions, but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power.",prepared
"Electors are always <b>quick</b> to criticise the Government in answer to pollsters' questions, but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power.",prepared
"Electors are always <b>willing</b> to criticise the Government in answer to pollsters' questions, but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power.",prepared
Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>precluded</b> by two with an employer) for the rest.,followed
Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>noword</b> by two with an employer) for the rest.,followed
Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>accompanied</b> by two with an employer) for the rest.,followed
These reforms will only <b>reach</b> their objective if accompanied by the implementation of the 1944 Education Act provision for compulsory part- or full-time education or training up to the age of 18.,achieve
These reforms will only <b>attain</b> their objective if accompanied by the implementation of the 1944 Education Act provision for compulsory part- or full-time education or training up to the age of 18.,achieve
These reforms will only <b>meet</b> their objective if accompanied by the implementation of the 1944 Education Act provision for compulsory part- or full-time education or training up to the age of 18.,achieve
The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age <b>cohort</b> to entice young people away from education and into unskilled or semi-skilled jobs.,group
The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age <b>bracket</b> to entice young people away from education and into unskilled or semi-skilled jobs.,group
The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age <b>demographic</b> to entice young people away from education and into unskilled or semi-skilled jobs.,group
The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age <b>category</b> to entice young people away from education and into unskilled or semi-skilled jobs.,group
"Only then will two vitally important and complementary goals be achieved: to improve Britain's general educational and vocational competence, and hence our productive capacity; and to reduce our gross educational inequalities between the elite who receive a <b>limited</b> education to a very high standard, and the rest.",narrow
"Only then will two vitally important and complementary goals be achieved: to improve Britain's general educational and vocational competence, and hence our productive capacity; and to reduce our gross educational inequalities between the elite who receive a <b>better</b> education to a very high standard, and the rest.",narrow
Sir: Labour does not <b>require</b> a commitment to proportional representation in order to scoop most of the centre ground at the next general election.,need
"Sir: If Labour is to suggest the <b>making</b> up of a specialist labour court (30 September), then such a momentous change in the industrial relations system deserves more discussion, and needs to be taken out of the hot-house of Labour Party conference politics.",setting
"Sir: If Labour is to suggest the <b>creating</b> up of a specialist labour court (30 September), then such a momentous change in the industrial relations system deserves more discussion, and needs to be taken out of the hot-house of Labour Party conference politics.",setting
"Sir: If Labour is to suggest the <b>building</b> up of a specialist labour court (30 September), then such a momentous change in the industrial relations system deserves more discussion, and needs to be taken out of the hot-house of Labour Party conference politics.",setting
"Sir: If Labour is to suggest the setting up of a specialist labour court (30 September), then such a momentous change in the industrial relations system deserves more discussion, and needs to be taken out of the <b>web</b> of Labour Party conference politics.",hot-house
"Sir: If Labour is to suggest the setting up of a specialist labour court (30 September), then such a momentous change in the industrial relations system deserves more discussion, and needs to be taken out of the <b>debate</b> of Labour Party conference politics.",hot-house
"Sir: If Labour is to suggest the setting up of a specialist labour court (30 September), then such a momentous change in the industrial relations system deserves more discussion, and needs to be taken out of the <b>hotbed</b> of Labour Party conference politics.",hot-house
"Sir: If Labour is to suggest the setting up of a specialist labour court (30 September), then such a momentous change in the industrial relations system deserves more discussion, and needs to be taken out of the <b>forefront</b> of Labour Party conference politics.",hot-house
"Second, it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union <b>protection</b>.",immunities
"Second, it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union <b>exemptions</b>.",immunities
"Second, it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union <b>protections</b>.",immunities
"Second, it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union <b>resistance</b>.",immunities
"Labour law will always reflect the balance of <b>influence</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.",power
"Labour law will always reflect the balance of <b>strength</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.",power
"Labour law will always reflect the balance of <b>dominance</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.",power
"Labour law will always reflect the balance of power in society, and a fully fledged labour court system will not <b>abolish</b> class and fundamental employer-employee differences.",remove
"Labour law will always reflect the balance of power in society, and a fully fledged labour court system will not <b>eliminate</b> class and fundamental employer-employee differences.",remove
"Third, a labour division of the High Court would contribute to the process of <b>structural</b> reform in Britain which surely is to be a key political issue in the 1990s.",constitutional
"Third, a labour division of the High Court would contribute to the process of <b>societal</b> reform in Britain which surely is to be a key political issue in the 1990s.",constitutional
"Third, a labour division of the High Court would contribute to the process of <b>judicial</b> reform in Britain which surely is to be a key political issue in the 1990s.",constitutional
The â€˜trade union questionâ€™ would cease to haunt the Labour Party and while that might <b>dismay</b> some Conservatives it would be good for the country.,upset
The â€˜trade union questionâ€™ would cease to haunt the Labour Party and while that might <b>worry</b> some Conservatives it would be good for the country.,upset
The â€˜trade union questionâ€™ would cease to haunt the Labour Party and while that might <b>unsettle</b> some Conservatives it would be good for the country.,upset
The â€˜trade union questionâ€™ would cease to haunt the Labour Party and while that might <b>irritate</b> some Conservatives it would be good for the country.,upset
The â€˜trade union questionâ€™ would cease to haunt the Labour Party and while that might <b>trouble</b> some Conservatives it would be good for the country.,upset
How much â€˜independenceâ€™ do you suppose a person has who exists on the no-<b>permanent</b>abode Giro of Â£34.90 a week?,fixed-
How much â€˜independenceâ€™ do you suppose a person has who exists on the no-<b>set</b>abode Giro of Â£34.90 a week?,fixed-
How much â€˜independenceâ€™ do you suppose a person has who exists on the no-<b>fixed</b>abode Giro of Â£34.90 a week?,fixed-
"Now, it would appear from this article, that this ideal is <b>destroyed</b> and a two-tiered Europe is on the cards.",shattered
"Now, it would appear from this article, that this ideal is <b>decimated</b> and a two-tiered Europe is on the cards.",shattered
"Now, it would appear from this article, that this ideal is <b>dead</b> and a two-tiered Europe is on the cards.",shattered
"Now, it would appear from this article, that this ideal is <b>wrecked</b> and a two-tiered Europe is on the cards.",shattered
"Now, it would appear from this article, that this ideal is shattered and a two<b>level</b> Europe is on the cards.",-tiered
"Now, it would appear from this article, that this ideal is shattered and a two<b>layered</b> Europe is on the cards.",-tiered
"Now, it would appear from this article, that this ideal is shattered and a two<b>leveled</b> Europe is on the cards.",-tiered
"Cardinal Hume has not only the cross of being a fervent Newcastle United supporter to bear; he is also known to irreverent <b>people</b> of Mayfair's Jesuit Farm Street Church by his initials, George Basil Hume.",members
"Cardinal Hume has not only the cross of being a fervent Newcastle United supporter to bear; he is also known to irreverent <b>fellows</b> of Mayfair's Jesuit Farm Street Church by his initials, George Basil Hume.",members
"Cardinal Hume has not only the cross of being a fervent Newcastle United supporter to bear; he is also known to irreverent <b>associates</b> of Mayfair's Jesuit Farm Street Church by his initials, George Basil Hume.",members
"Cardinal Hume has not only the cross of being a fervent Newcastle United supporter to bear; he is also known to irreverent <b>attendees</b> of Mayfair's Jesuit Farm Street Church by his initials, George Basil Hume.",members
"DOZENS more East German refugees arrived outside the West German embassy yesterday seeking asylum and passage to the West, including some who <b>trailed</b> by only a few minutes a train that took more than 800 of their compatriots to West Germany.",missed
"DOZENS more East German refugees arrived outside the West German embassy yesterday seeking asylum and passage to the West, including some who <b>undershot</b> by only a few minutes a train that took more than 800 of their compatriots to West Germany.",missed
"According to unofficial reports, the <b>situation</b> was designed by the West German Foreign Minister, Hans Dietrich Genscher, the new Polish foreign minister, Krzystof Skubiszewski, and the Soviet Foreign Minister, Eduard Shevardnadze, who met recently at the United Nations in New York.",arrangement
"According to unofficial reports, the <b>agreement</b> was designed by the West German Foreign Minister, Hans Dietrich Genscher, the new Polish foreign minister, Krzystof Skubiszewski, and the Soviet Foreign Minister, Eduard Shevardnadze, who met recently at the United Nations in New York.",arrangement
"According to unofficial reports, the <b>settlement</b> was designed by the West German Foreign Minister, Hans Dietrich Genscher, the new Polish foreign minister, Krzystof Skubiszewski, and the Soviet Foreign Minister, Eduard Shevardnadze, who met recently at the United Nations in New York.",arrangement
"According to unofficial reports, the <b>plan</b> was designed by the West German Foreign Minister, Hans Dietrich Genscher, the new Polish foreign minister, Krzystof Skubiszewski, and the Soviet Foreign Minister, Eduard Shevardnadze, who met recently at the United Nations in New York.",arrangement
"Thousands of Montenegrins, many in national costume, waited at the quayside in Bar for the Italian warship that would <b>transport</b> him home.",bring
"Thousands of Montenegrins, many in national costume, waited at the quayside in Bar for the Italian warship that would <b>carry</b> him home.",bring
"Thousands of Montenegrins, many in national costume, waited at the quayside in Bar for the Italian warship that would <b>take</b> him home.",bring
"Thousands of Montenegrins, many in national costume, waited at the quayside in Bar for the Italian warship that would <b>escort</b> him home.",bring
"What was surely the last ever Montenegrin â€˜royal eventâ€™ was masterminded by the republic's new Communist leadership, which has abruptly stopped describing Nicholas as a class enemy, to ride the same wave of popular patriotism and royal fervour which <b>typified</b> Serbia in the recent celebrations of the 600th anniversary of the battle of Kosovo.",swept
"What was surely the last ever Montenegrin â€˜royal eventâ€™ was masterminded by the republic's new Communist leadership, which has abruptly stopped describing Nicholas as a class enemy, to ride the same wave of popular patriotism and royal fervour which <b>overwhelmed</b> Serbia in the recent celebrations of the 600th anniversary of the battle of Kosovo.",swept
"What was surely the last ever Montenegrin â€˜royal eventâ€™ was masterminded by the republic's new Communist leadership, which has abruptly stopped describing Nicholas as a class enemy, to ride the same wave of popular patriotism and royal fervour which <b>drove</b> Serbia in the recent celebrations of the 600th anniversary of the battle of Kosovo.",swept
"What was surely the last ever Montenegrin â€˜royal eventâ€™ was masterminded by the republic's new Communist leadership, which has abruptly stopped describing Nicholas as a class enemy, to ride the same wave of popular patriotism and royal fervour which <b>engulfed</b> Serbia in the recent celebrations of the 600th anniversary of the battle of Kosovo.",swept
"What was surely the last ever Montenegrin â€˜royal eventâ€™ was masterminded by the republic's new Communist leadership, which has abruptly stopped describing Nicholas as a class enemy, to ride the same wave of popular patriotism and royal fervour which <b>swooped</b> Serbia in the recent celebrations of the 600th anniversary of the battle of Kosovo.",swept
"â€˜If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,â€™ said the Montenegrin President, Branko Kostic, reading the royal <b>request</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.",will
"â€˜If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,â€™ said the Montenegrin President, Branko Kostic, reading the royal <b>details</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.",will
"â€˜If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,â€™ said the Montenegrin President, Branko Kostic, reading the royal <b>requests</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.",will
"â€˜If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,â€™ said the Montenegrin President, Branko Kostic, reading the royal <b>legacy</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.",will
"â€˜Our tourist organisations are counting on big profits,â€™ said Srdan Darmanovic, a <b>representative</b> of the Montenegrin Central Committee.",member
"â€˜Our tourist organisations are counting on big profits,â€™ said Srdan Darmanovic, a <b>person</b> of the Montenegrin Central Committee.",member
"â€˜Our tourist organisations are counting on big profits,â€™ said Srdan Darmanovic, a <b>associate</b> of the Montenegrin Central Committee.",member
"Montenegro's <b>youthful</b> and go-ahead leadership, which came to power this year amid furious popular dissatisfaction with the â€˜old men in grey suitsâ€™, sponsored the gathering of Nicholas's surviving relatives â€” the first â€˜royal reunionâ€™ organised by a Communist government.",young
"Montenegro's <b>juvenile</b> and go-ahead leadership, which came to power this year amid furious popular dissatisfaction with the â€˜old men in grey suitsâ€™, sponsored the gathering of Nicholas's surviving relatives â€” the first â€˜royal reunionâ€™ organised by a Communist government.",young
"For a man whom Rebecca West, a contemporary Balkan observer, called â€˜<b>revolting</b>â€™ and â€˜treacherousâ€™ for deserting his Serbian son-in-law, King Alexander, in the First World War, it is a sepia-tinted view of history.",repulsive
"For a man whom Rebecca West, a contemporary Balkan observer, called â€˜<b>disgusting</b>â€™ and â€˜treacherousâ€™ for deserting his Serbian son-in-law, King Alexander, in the First World War, it is a sepia-tinted view of history.",repulsive
"For a man whom Rebecca West, a contemporary Balkan observer, called â€˜<b>awful</b>â€™ and â€˜treacherousâ€™ for deserting his Serbian son-in-law, King Alexander, in the First World War, it is a sepia-tinted view of history.",repulsive
"For a man whom Rebecca West, a contemporary Balkan observer, called â€˜<b>grotesque</b>â€™ and â€˜treacherousâ€™ for deserting his Serbian son-in-law, King Alexander, in the First World War, it is a sepia-tinted view of history.",repulsive
This furthered his long-term ambition to <b>oversee</b> a large â€˜south Slavâ€™ kingdom when the Ottoman Empire finally collapsed.,rule
This furthered his long-term ambition to <b>lead</b> a large â€˜south Slavâ€™ kingdom when the Ottoman Empire finally collapsed.,rule
This furthered his long-term ambition to <b>command</b> a large â€˜south Slavâ€™ kingdom when the Ottoman Empire finally collapsed.,rule
This furthered his long-term ambition to <b>control</b> a large â€˜south Slavâ€™ kingdom when the Ottoman Empire finally collapsed.,rule
This furthered his long-term ambition to <b>govern</b> a large â€˜south Slavâ€™ kingdom when the Ottoman Empire finally collapsed.,rule
This furthered his long-term ambition to rule a large â€˜south Slavâ€™ kingdom when the Ottoman Empire finally <b>fell</b>.,collapsed
This furthered his long-term ambition to rule a large â€˜south Slavâ€™ kingdom when the Ottoman Empire finally <b>disintegrated</b>.,collapsed
This furthered his long-term ambition to rule a large â€˜south Slavâ€™ kingdom when the Ottoman Empire finally <b>descended</b>.,collapsed
This furthered his long-term ambition to rule a large â€˜south Slavâ€™ kingdom when the Ottoman Empire finally <b>ended</b>.,collapsed
This furthered his long-term ambition to rule a large â€˜south Slavâ€™ kingdom when the Ottoman Empire finally <b>crashed</b>.,collapsed
He even persuaded 12 European <b>bosses</b> to turn cottages into full embassies.,powers
He even persuaded 12 European <b>forces</b> to turn cottages into full embassies.,powers
He even persuaded 12 European <b>authorities</b> to turn cottages into full embassies.,powers
He even persuaded 12 European <b>countries</b> to turn cottages into full embassies.,powers
He even persuaded 12 European <b>executives</b> to turn cottages into full embassies.,powers
It was a <b>decent</b> achievement in a town which an earlier observer described as â€˜44 hovelsâ€™.,fair
It was a <b>just</b> achievement in a town which an earlier observer described as â€˜44 hovelsâ€™.,fair
It was a <b>equal</b> achievement in a town which an earlier observer described as â€˜44 hovelsâ€™.,fair
It was a <b>good</b> achievement in a town which an earlier observer described as â€˜44 hovelsâ€™.,fair
It was a <b>nice</b> achievement in a town which an earlier observer described as â€˜44 hovelsâ€™.,fair
"VIRGIL THOMSON was a composer and writer of originality, courage and wit formed by a unique <b>blend</b> of American and French influences.",mixture
"VIRGIL THOMSON was a composer and writer of originality, courage and wit formed by a unique <b>combination</b> of American and French influences.",mixture
"His Missouri childhood gave him access to Baptist hymns and church music, but at Harvard he was <b>acquainted</b> to the writings of Gertrude Stein and the music of Erik Satie.",introduced
"His Missouri childhood gave him access to Baptist hymns and church music, but at Harvard he was <b>exposed</b> to the writings of Gertrude Stein and the music of Erik Satie.",introduced
"His Missouri childhood gave him access to Baptist hymns and church music, but at Harvard he was <b>presented</b> to the writings of Gertrude Stein and the music of Erik Satie.",introduced
"His Missouri childhood gave him access to Baptist hymns and church music, but at Harvard he was <b>conceived</b> to the writings of Gertrude Stein and the music of Erik Satie.",introduced
These influences laid the foundations for the blend of the naive and the sophisticated which is the <b>trademark</b> of Thomson's maturity.,hallmark
These influences laid the foundations for the blend of the naive and the sophisticated which is the <b>definition</b> of Thomson's maturity.,hallmark
These influences laid the foundations for the blend of the naive and the sophisticated which is the <b>essence</b> of Thomson's maturity.,hallmark
"Like many young American composers he studied with Nadia Boulanger, but after 1925 <b>went</b> out to achieve the â€˜discipline of spontaneityâ€™ which he found in Stein's writings.",set
"Like many young American composers he studied with Nadia Boulanger, but after 1925 <b>branched</b> out to achieve the â€˜discipline of spontaneityâ€™ which he found in Stein's writings.",set
"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which <b>showcased</b> a new kind of plotless opera only now reaching a wider currency through the stage works of Philip Glass.",demonstrated
"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which <b>showed</b> a new kind of plotless opera only now reaching a wider currency through the stage works of Philip Glass.",demonstrated
"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which <b>displayed</b> a new kind of plotless opera only now reaching a wider currency through the stage works of Philip Glass.",demonstrated
"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which demonstrated a new kind of plotless opera only now <b>achieving</b> a wider currency through the stage works of Philip Glass.",reaching
"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which demonstrated a new kind of plotless opera only now <b>finding</b> a wider currency through the stage works of Philip Glass.",reaching
"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which demonstrated a new kind of plotless opera only now <b>attaining</b> a wider currency through the stage works of Philip Glass.",reaching
"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which demonstrated a new kind of plotless opera only now <b>extending</b> a wider currency through the stage works of Philip Glass.",reaching
"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which demonstrated a new kind of plotless opera only now <b>gaining</b> a wider currency through the stage works of Philip Glass.",reaching
He said: â€˜I had wondered whether a <b>part</b> so drenched in Anglican chant (running from Gilbert and Sullivan to Morning Prayer and back) could rise and sail.â€™,piece
